screen_name,cluster
baumfran,1
vanessadantes1,1
mainmaq,1
FLongshank,1
NickCowern,0
MikeLaChance33,1
StephenTwigg,1
NST_Online,1
joeylynnrodgers,1
AttilaAros,1
ElanElizabeth,1
weatherindia,1
dwallacewells,0
staconzy16,1
JoshuaUbeku,1
RedChilliesEnt,1
AlbertStienstra,1
beauxssy,1
144000bound,1
albertmorac,1
odysseuslahori,1
juliebrizzolara,1
ret_ward,1
takvera,1
DanielT340,1
YNB,1
Raf_Epstein,1
ElaineEDO,1
January__5th,1
AndrewDixonSo,1
gangrey,1
lolYisus,1
abby7fulton,1
faituv,1
tncbgbg,1
DarthDentist,1
joe_iacolucci,1
gaywithyourdad,1
muz4now,1
drethelin,1
CanadaInDecline,1
OrdyPackard,1
gcpjjk,1
CelloLife,1
shiv_ghosh_,1
Grizzly_Stevens,1
ravenladie,1
NWPinPDX,1
Coach_Sarachman,1
helaineolen,1
abby__cain221,1
AlexKOliver,1
VamosYankees,1
DetermanMadalyn,1
Canadajackass14,1
PatrickDavis00,1
BrittanySlaght,1
munchcrunchh,1
skp2203,1
woahanass,1
3GHtweets,1
walterowensgrpa,1
titus7007,1
OtherPplMoney,1
StewartGatz,1
ErikSolheim,1
wtmpacific,1
Trav_smith14,1
djpalardy,1
BCAppelbaum,1
writelike_mike,1
HarveyMyatt,1
lolcuuute,1
ManxRepublic,1
AnaMardoll,1
gufict,1
crvzfreddy,1
nazbarlis,1
CLEInfoMinister,1
BeckksSG,1
h8r4u,1
DonaldDuckforP1,1
RobbieGramer,1
__ElijahM,1
ReinceNiebuhr,1
rsqk9s,1
TheOnion,1
MarjaLubeck,1
AdHomin22800012,1
BarbaraMcK42,1
timmy_turnar,1
graddy,1
JimFish56837379,1
tim4hire,1
mitskilyricsbot,1
RichardDiNatale,1
ianmastersmedia,1
ProudCdnthe10th,1
GlblCtzn,1
heydingis,1
anthgarrett,1
grace_hartwig,1
KiriAllan,1
chicksonright,1
ikendricknewfie,1
sssomebodyyy,1
jamespeshaw,1
SolveMIT,1
rosyhuening,1
saw_saw5,1
ABillionSuns,1
ariesaurum,1
JohnKeily1,1
MadamCurious,1
ChasadiR,1
can_climate_guy,1
whereshismother,1
Megan_Hashimoto,1
Barbarajdurkin,1
TwitchyTeam,1
americanzionism,1
infpwriter,1
Kelsey_Nelson7,1
taryn_alexander,1
artist180,1
Two_Penneth,1
JTFOz,1
JIMINSPROMlSE,1
_WildHeart34_,1
SadDiAngelo,1
beeftenderloins,1
MotherNatureNet,1
columlynch,1
tomselliott,1
PeopleValues,1
tartanpirate1,1
WayneSChurchill,1
bugsysbak,1
kuchigazmend,1
SISeneviratne,1
jimaisvus,1
GreenLibDems,1
mp3michael,1
OrganicLiveFood,1
luxidecker,1
TheBabylonBee,1
CatherineGinso1,1
MarketWatch,1
nia_chinn,1
A_Liberty_Rebel,1
notseriosu,1
TorontoStar,1
onein7bn,1
j__woo,1
Rightwing_Vet,1
BrandonHathaw12,1
afsofia_,1
TEDx,1
toniodied,1
JillianMmm,1
CrusadeAtheist,1
JakeDvorak1,1
frenchquokka,1
FranceArctique,1
jordylancaster,1
LETSTALKCRYPT0,1
WinterOakPress,0
TheRealJoeBuf,1
Thetiredbroker,1
tabitha_gunning,1
SnowWhite_Lines,1
SouthTxGent,1
chenpang_chang,1
arcangelcrowe,1
CallawayLong,1
GaryGarratt,1
c40cities,1
4A_Ci,1
MarkSimoneNY,1
LustyAngelPeach,1
EmilOnTheFloss,1
grist,0
Northbankboy,1
queen_maiyah,1
puffnblow_at_GP,1
Hephaestus7,1
Real_LJB,1
SealTeam_Q,1
chambiesdolz,1
chloehope10,1
illllliana,1
also_christian,1
DrSammyD,1
DarrenWarner2,1
XenaZeitgeist,1
ADevotedYogi,1
demikiyoko,1
thefemalef0rm,1
exiledsurfer,1
petrhicor,1
EricDSnider,1
It_IsMyKate,1
morgankirchhoff,1
PaulBruce_Ouch,0
jmrivera02,1
NFImedia,1
d1Vinman,1
MaikeWacker,1
ohsurvive,1
JohnMiehoff22,1
ianssmart,1
franmannarino,1
darreljorstad,1
aastronutt,1
mercycorps,1
ajplus,1
maya_sen,1
BaileySkinner1,1
junebuug_,1
GMMeyer,1
OntarioGreens,1
seosmh,1
ZachMoss6,1
JoshCStephenso,1
ArtedsLife,1
vt_beer,1
htniemiec,1
cllaaiirre1ye,1
Stanford,1
bobjones2244,1
Underdogsbiteup,1
JoshuaMarola,1
CNN,1
motelsonthemoon,1
analykrystin,1
tuns1999,1
GageSmith000,1
PopSci,1
valeriagmq,1
Emmy0w0,1
kitty___knight,1
Sustainable2050,1
JorgenFaxholm,1
TheStalwart,1
AHMalcolm,1
_normazing,1
BarclaysIB,1
inagaddahdavida,1
nytclimate,1
KyleSammin,1
BrechinYes2,1
yoctatrine,1
nature_oregon,1
RokStarrMom,1
mirreeehayat,1
RomboughSunni,1
HeartlandDiary,1
NolteNC,1
docterzzz,1
VeryHarmless,1
superswiftie,1
cph_milano,1
cris_suarezz15,1
JoshuaMaslog,1
Jar_O_Cats,1
t_ftop,1
NotJanXavier,1
lasrina,1
lamphieryeg,1
DavidMcLA,1
jsutherland1008,1
EarthHeroOrg,1
nytimesworld,1
GarySanchez12,1
jorjadixon,1
ilovemnmcrispyy,1
Professor_Oogie,1
r_graus,1
stuartpstevens,1
2HawkEye2020,1
TRUMPETB2,1
Janendunlop,1
wayotworld,1
OwlFiftyEight,1
AnniseParker,1
90smaxx,1
medievalhistory,1
JennaLohr,1
JayInslee,1
aj_ghimire,1
wandering_monk,1
KatharosScum,1
RyanTNC,1
marlawd,1
TRUMPUSAMAGAKAG,1
jessieschrader,1
Hmiller1011,1
Pao_ta_toe,1
steve_nshtx,1
JackMotleyLive,1
r__huffdaddy,1
ProfessorBroad,1
vivisenya,1
Snowbirdsix1000,1
CooperLorne,1
wymandatmercury,1
JaxAlemany,1
ConservativeXT,1
Tracy_Siv,1
NGIinsights,1
shxxbis,1
RacingXtinction,1
BNPParibas,1
MyFrogCroaked,1
tommybj1950,1
ihkruhm_,1
pyrocyn,1
joannastadnik3,1
WMO,1
haechansuns,1
samhusseini,1
HD283271,1
jg_environ,1
AndieHallihan,1
CarlTeichrib,1
thetimes,1
CarlitosAngel,1
tleehumphrey,1
skunkhunter13,1
M1CKS4NDY,1
IJasonAlexander,1
SusanRHolmberg,1
roach_works,1
Canadia56668243,1
mic_p_dre,1
uguradiguzzel,1
Kadriilham,1
KanoDarpenko,1
_richardblack,1
MUGGER1955,1
DebbieCharlton3,1
xGoalanke,1
Doc_0,1
shepher25038479,1
lnfinitydaya,1
davemwall,1
rogersmith1144,1
Jimmy_the_jay,1
CoxGiselle66,1
ZEROCO2_,1
sainteen,1
RebeccaReCap,1
DiFantastico,1
tjhend1,1
MaxBoot,1
LivHinton,1
Cricrifi,1
MrRemain,1
Emmalouisajones,1
Against_3G,1
ami_angelwings,1
alexaiono,1
ErikaPetersenMD,1
alienorotto,1
Simon_Cullen,1
AndrewKingClim,1
EnergyJvd,1
NeilThin,1
cnni,1
SupportOurLefty,1
TaodeHaas,1
NaneAam,1
mjflepage,1
Saeid19025008,1
KarinIsSharing,1
bonerman_inc,1
Arthur89367695,1
frankenquine,1
PaulAndersonNE6,1
BadBoy2662,1
conservbytes,1
ulrikacandolin,1
AnnieBrightstar,1
mikefarb1,1
baheresmat,1
CPAtob,1
prakashadvani,1
seyzartt,1
ThePrintScience,1
sammszzz,1
stromzerstoren,1
cheryl1492,1
datrevanator1,1
HELLOHONEBI,1
blackmacete,1
Czakal,1
theipaper,1
anaapugaa,1
a_laynna,1
JackPosobiec,1
ArteLeonida,1
rbmcph,1
ostrichson,1
unfrocked_vicar,1
1Progressivism,1
SF2014nl,1
rolandsmartin,1
HuffPost,1
justbrothing,1
LOVEPINKS04,1
milano_xr,1
TheMeatHook2k,1
Meg23777,1
democraticbear,1
Stripeh,1
VenusGx,1
MarkKoop1,1
the_iPHA,1
PenBerzerker,1
YearOfRat,1
MidleAgeGambino,1
jalynkinnan,1
robinmonotti,1
HuffPostPol,1
tagreryens,1
finger_guns_bi,1
LeonardRoxon,1
DearDez__,1
wayneradcliffe,1
LauraPaskus,1
Rachrenaud,1
jadaryanne,1
KateOrff,1
AustralisTerry,1
MattNT11,1
sensitive_hdrat,1
PatrickHealy21,1
hunterpaigee_,1
matthew_mclaugh,1
Lightni12092685,1
CanadaSpeaksOut,1
ExistentialEnso,1
dynamat,1
scottieK17,1
becauseimatrash,1
AviFlyGirl,1
ScienceNotDogma,0
OtherJaneAdams,1
MomJovi,1
Cole59818957,1
WinningWordsPro,1
LmaoGuru,1
jbendery,1
ItsAmeeraAli,1
TeddyPersians,1
momsagainstpda,1
Firemonkey991,1
climateguyw,1
geoffmprice,1
ErinStereo,1
youvegotmel___,1
richwal94842899,1
PlanetGreen,1
letsdot94709949,1
egies,1
ThomasBeyer,1
RTMcFadyen,1
Hal_RTFLC,1
dan_allegretto,1
pewenvironment,1
MarkZastrow,1
market_forces,1
Bolt_RSS,1
BenMFFowler,1
NoDirectAction,1
99freemind,1
catherine___c,1
errrands_,1
RachelLaLonde25,1
EfiGreat,1
MUERTE616,1
moaningmusic,1
bravesdude1976,1
Mr_Lincoln,1
nxmbjules,1
Crustytoo,1
thenation,1
CDLS_UCLA,1
ProfRayWills,1
msroberts0619,1
Rhiwoodbevan,1
joelissiah,1
wes_chu,1
reggcohn,1
thjr19,1
Leafsbh,1
nycjim,1
greenpowerCA,1
aidanknight,1
JayNair_MUFC,1
Baker1Jay,1
southernwayjim,1
Flashgordonv,1
AdeAdamson,1
bkerogers,1
alt_horizon,1
rhymeswtrump,1
cyanbeanie,1
GDixon1977,1
donttrythis,1
BryceIsNycee,1
luvnotlov,1
_tamagucci,1
amalieskram,1
miriamcosic,1
Greg_Drovers,1
WoolyThoughtz,1
TomTSEC,1
missskye,1
CarleyKeblish,1
HeyJebNiceGuac,1
Dpao10,1
fightitnow,1
Sojourners,1
LuigiSaying,1
PNASNews,1
TBrennetta,1
CoreyStorm,1
davidoshelton,1
badreactiongifs,1
morellaty,1
lnteGritty,1
WCC_IA,1
SamuelQPrescott,1
zoeehbu,1
NewsandGuts,1
VanessaAJohn,1
kevpluck,1
Mrs_Palmeiro,1
Freshoutoftissu,1
BeansFranco,1
deannaa36,1
jwgop,1
StefanMolyneux,1
NewTmrw,1
jmguks,1
obiwantricoli,1
nillalinaa,1
dnnation,1
PeterDGardner,1
SarahMoebs,1
northtownbellz,1
jon_forsyth,1
Fart_cry,1
claudiialykke2,1
Sage_Opinion,1
adapt2030,1
gabbyh1407,1
FrNickOFMConv,1
elisasboy72,1
FieldMuseum,1
pmagn,0
Piers_Corbyn,1
earthles77,1
dr_morrissey,1
ChangeTheLAUSD,1
s_oliverpatten,1
AWeaverWrites,1
skylark_cash,1
32_cwg,1
KeillerDon,1
banqtangirl,1
YEARSofLIVING,1
miasmo_,1
Tigergeorgie,1
MrYonce,1
alex_randall,1
CEGA_UC,1
Chavivohra,1
monojinjo,1
brooke_barney1,1
bigleaguepol,1
highcountrynews,1
hihimichael,1
Lak5h,1
BobDalberg,1
em_witt_17,1
_sadboyrai,1
ByIanJames,1
drewgrey,1
somiologist,1
KenCaldeira,1
dr2vehard,1
BryanNicholson1,1
ChelsieRomulo,1
IMFNews,1
oraymw,1
Goatstein,1
hipsterocracy,1
ByYourLogic,1
juandangas13,1
LastBornPodcast,1
Limits2Growth,1
bananafitz,1
CU_Indivisible,1
stapf,1
RepDarrenSoto,1
ShonnOborowsky,1
MalChilie,1
YazzieDree,1
Grrazza,1
eriantoinette,1
TearsOfTrudeau,1
karl_nittinger,1
NWF,1
autumeme,1
Columbia,1
rgladstone,1
jalapenojuana,1
scowlingmonkey,1
carolinedee_,1
TManey4,1
PoohBear71,1
csmonitor,1
